,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality_category
712,white,8.2,0.27,0.43,1.6,0.035,31.0,128.0,0.9916,3.1,0.5,12.3,2
713,white,6.4,0.31,0.39,7.5,0.04,57.0,213.0,0.99475,3.32,0.43,10.0,3
714,white,6.0,0.39,0.26,2.7,0.038,39.0,187.0,0.99325,3.41,0.5,10.8,2
715,white,6.2,0.21,0.27,1.7,0.038,41.0,150.0,0.9933,3.49,0.71,10.5,1
716,white,7.7,0.42,0.31,9.2,0.048,22.0,221.0,0.9969,3.06,0.61,9.2,2
717,white,7.0,0.27,0.41,18.75,0.042,34.0,157.0,1.0002,2.96,0.5,9.1,3
718,white,6.2,0.21,0.27,1.7,0.038,41.0,150.0,0.9933,3.49,0.71,10.5,1
719,white,7.4,0.29,0.5,1.8,0.042,35.0,127.0,0.9937,3.45,0.5,10.2,1
720,white,6.6,0.29,0.44,9.0,0.053,62.0,178.0,0.99685,3.02,0.45,8.9,3
721,white,6.0,0.3,0.44,1.5,0.046,15.0,182.0,0.99455,3.5,0.52,10.4,3
722,white,6.9,0.31,0.34,1.6,0.032,23.0,128.0,0.9917,3.37,0.47,11.7,2
723,white,6.6,0.33,0.31,1.3,0.02,29.0,89.0,0.99035,3.26,0.44,12.4,0
724,white,7.8,0.3,0.4,1.8,0.027999999999999997,23.0,122.0,0.9914,3.14,0.39,10.9,1
725,white,6.4,0.39,0.21,1.2,0.040999999999999995,35.0,136.0,0.99225,3.15,0.46,10.2,3
726,white,6.4,0.24,0.31,2.8,0.038,41.0,114.0,0.99155,3.37,0.66,11.7,1
727,white,7.0,0.21,0.34,8.0,0.057,19.0,101.0,0.9954,2.99,0.59,9.4,3
728,white,6.4,0.16,0.31,5.3,0.043,42.0,157.0,0.99455,3.35,0.47,10.5,3
729,white,6.0,0.33,0.27,0.8,0.185,12.0,188.0,0.9924,3.12,0.62,9.4,3
730,white,6.5,0.23,0.33,13.8,0.042,25.0,139.0,0.99695,3.35,0.56,10.4,2
731,white,6.2,0.25,0.48,10.0,0.044000000000000004,78.0,240.0,0.99655,3.25,0.47,9.5,2
732,white,8.8,0.28,0.45,6.0,0.022000000000000002,14.0,49.0,0.9934,3.01,0.33,11.1,1
733,white,6.6,0.25,0.3,14.4,0.052000000000000005,40.0,183.0,0.998,3.02,0.5,9.1,2
734,white,6.9,0.38,0.25,9.8,0.04,28.0,191.0,0.9971,3.28,0.61,9.2,3
735,white,6.4,0.25,0.3,5.5,0.038,15.0,129.0,0.9948,3.14,0.49,9.6,2
736,white,6.6,0.25,0.3,14.4,0.052000000000000005,40.0,183.0,0.998,3.02,0.5,9.1,2
737,white,6.9,0.38,0.25,9.8,0.04,28.0,191.0,0.9971,3.28,0.61,9.2,3
738,white,7.1,0.21,0.31,3.8,0.021,40.0,142.0,0.99215,3.17,0.39,10.8,1
739,white,6.4,0.25,0.3,5.5,0.038,15.0,129.0,0.9948,3.14,0.49,9.6,2
740,white,6.9,0.39,0.4,4.6,0.022000000000000002,5.0,19.0,0.9915,3.31,0.37,12.6,4
741,white,5.8,0.2,0.3,1.5,0.031,21.0,57.0,0.99115,3.44,0.55,11.0,2
742,white,7.0,0.2,0.37,2.0,0.03,26.0,136.0,0.9932,3.28,0.61,10.2,2
743,white,5.9,0.26,0.25,12.5,0.034,38.0,152.0,0.9977,3.33,0.43,9.4,3
744,white,7.4,0.38,0.27,7.5,0.040999999999999995,24.0,160.0,0.99535,3.17,0.43,10.0,3
745,white,7.4,0.2,1.66,2.1,0.022000000000000002,34.0,113.0,0.99165,3.26,0.55,12.2,2
746,white,7.0,0.21,0.34,8.5,0.033,31.0,253.0,0.9953,3.22,0.56,10.5,2
748,white,6.9,0.18,0.38,8.1,0.049,44.0,176.0,0.9958,3.3,0.54,9.8,2
749,white,7.3,0.3,0.42,7.35,0.025,51.0,175.0,0.9928,3.04,0.32,11.4,2
750,white,7.2,0.29,0.4,7.6,0.024,56.0,177.0,0.9928,3.04,0.32,11.5,2
751,white,6.9,0.2,0.5,10.0,0.036000000000000004,78.0,167.0,0.9964,3.15,0.55,10.2,2
752,white,6.7,0.2,0.42,14.0,0.038,83.0,160.0,0.9987,3.16,0.5,9.4,2
753,white,7.0,0.21,0.34,8.5,0.033,31.0,253.0,0.9953,3.22,0.56,10.5,2
754,white,5.9,0.35,0.47,2.2,0.11,14.0,138.0,0.9932,3.09,0.5,9.1,3
755,white,7.1,0.28,0.44,1.8,0.032,32.0,107.0,0.9907,3.25,0.48,12.2,1
756,white,5.8,0.25,0.28,11.1,0.055999999999999994,45.0,175.0,0.99755,3.42,0.43,9.5,3
757,white,6.8,0.22,0.37,15.2,0.051,68.0,178.0,0.99935,3.4,0.85,9.3,2
758,white,7.1,0.14,0.4,1.2,0.051,55.0,136.0,0.9932,3.3,0.96,9.8,1
759,white,7.1,0.13,0.4,1.2,0.047,54.0,134.0,0.9932,3.3,0.97,9.8,1
760,white,6.9,0.18,0.38,8.1,0.049,44.0,176.0,0.9958,3.3,0.54,9.8,2
761,white,7.0,0.2,0.38,8.1,0.05,42.0,173.0,0.99585,3.3,0.54,9.8,2
762,white,6.8,0.24,0.49,19.3,0.057,55.0,247.0,1.00055,3.0,0.56,8.7,3
763,white,5.0,0.44,0.04,18.6,0.039,38.0,128.0,0.9985,3.37,0.57,10.2,2
764,white,6.3,0.3,0.28,5.0,0.042,36.0,168.0,0.99505,3.22,0.69,9.5,2
765,white,7.2,0.27,0.42,1.6,0.05,35.0,135.0,0.992,2.94,0.46,11.0,2
766,white,6.7,0.5,0.63,13.4,0.078,81.0,238.0,0.9988,3.08,0.44,9.2,3
767,white,6.8,0.2,0.36,1.6,0.027999999999999997,7.0,46.0,0.99175,3.21,0.6,10.9,2
768,white,6.7,0.11,0.34,8.8,0.043,41.0,113.0,0.9962,3.42,0.4,9.3,1
769,white,6.7,0.11,0.34,8.8,0.043,41.0,113.0,0.9962,3.42,0.4,9.3,1
770,white,6.8,0.12,0.31,5.2,0.045,29.0,120.0,0.9942,3.41,0.46,9.8,1
771,white,6.6,0.16,0.57,1.1,0.13,58.0,140.0,0.9927,3.12,0.39,9.3,1
772,white,6.6,0.21,0.6,1.1,0.135,61.0,144.0,0.9927,3.12,0.39,9.3,1
773,white,6.1,0.27,0.3,16.7,0.039,49.0,172.0,0.99985,3.4,0.45,9.4,3
774,white,9.1,0.27,0.45,10.6,0.035,28.0,124.0,0.997,3.2,0.46,10.4,0
775,white,6.4,0.225,0.48,2.2,0.115,29.0,104.0,0.9918,3.24,0.58,12.1,2
776,white,8.3,0.14,0.45,1.5,0.039,18.0,98.0,0.99215,3.02,0.56,11.0,2
777,white,7.2,0.23,0.19,13.7,0.052000000000000005,47.0,197.0,0.99865,3.12,0.53,9.0,3
778,white,6.9,0.22,0.37,15.0,0.053,59.0,178.0,0.9992,3.37,0.82,9.5,1
779,white,8.1,0.17,0.44,14.1,0.053,43.0,145.0,1.0006,3.28,0.75,8.8,0
780,white,6.0,0.395,0.0,1.4,0.042,7.0,55.0,0.99135,3.37,0.38,11.2,4
781,white,7.8,0.29,0.22,9.5,0.055999999999999994,44.0,213.0,0.99715,3.08,0.61,9.3,2
782,white,6.9,0.22,0.37,15.0,0.053,59.0,178.0,0.9992,3.37,0.82,9.5,1
783,white,8.1,0.17,0.44,14.1,0.053,43.0,145.0,1.0006,3.28,0.75,8.8,0
784,white,7.2,0.23,0.19,13.7,0.052000000000000005,47.0,197.0,0.99865,3.12,0.53,9.0,3
785,white,7.6,0.3,0.27,10.6,0.039,31.0,119.0,0.99815,3.27,0.3,9.3,2
786,white,7.7,0.34,0.28,11.0,0.04,31.0,117.0,0.99815,3.27,0.29,9.2,2
787,white,7.7,0.34,0.28,11.0,0.04,31.0,117.0,0.99815,3.27,0.29,9.2,2
788,white,5.8,0.34,0.16,7.0,0.037000000000000005,26.0,116.0,0.9949,3.46,0.45,10.0,1
789,white,7.6,0.3,0.27,10.6,0.039,31.0,119.0,0.99815,3.27,0.3,9.3,2
790,white,7.7,0.34,0.28,11.0,0.04,31.0,117.0,0.99815,3.27,0.29,9.2,2
791,white,5.9,0.24,0.3,2.0,0.033,28.0,92.0,0.99225,3.39,0.69,10.9,1
792,white,6.4,0.46,0.08,4.9,0.046,34.0,144.0,0.99445,3.1,0.56,10.0,3
793,white,5.9,0.24,0.3,2.0,0.033,28.0,92.0,0.99225,3.39,0.69,10.9,1
794,white,7.4,0.32,0.27,1.4,0.049,38.0,173.0,0.99335,3.03,0.52,9.3,3
795,white,7.2,0.31,0.26,7.3,0.05,37.0,157.0,0.99625,3.09,0.43,9.0,3
796,white,7.8,0.42,0.23,8.8,0.054000000000000006,42.0,215.0,0.9971,3.02,0.58,9.2,2
797,white,6.9,0.24,0.33,12.5,0.046,47.0,153.0,0.9983,3.28,0.77,9.6,2
798,white,5.4,0.18,0.24,4.8,0.040999999999999995,30.0,113.0,0.99445,3.42,0.4,9.4,2
799,white,6.0,0.18,0.31,1.4,0.036000000000000004,14.0,75.0,0.99085,3.34,0.58,11.1,0
800,white,7.8,0.27,0.58,11.2,0.036000000000000004,44.0,161.0,0.9977,3.06,0.41,8.9,2
801,white,6.0,0.28,0.49,6.8,0.048,61.0,222.0,0.9953,3.19,0.47,9.3,3
802,white,6.8,0.39,0.35,11.6,0.044000000000000004,57.0,220.0,0.99775,3.07,0.53,9.3,3
803,white,6.6,0.21,0.31,11.4,0.039,46.0,165.0,0.99795,3.41,0.44,9.8,1
804,white,7.3,0.32,0.34,6.6,0.032,24.0,112.0,0.99505,3.22,0.46,9.8,2
805,white,7.8,0.27,0.58,11.2,0.036000000000000004,44.0,161.0,0.9977,3.06,0.41,8.9,2
806,white,6.4,0.31,0.26,13.2,0.046,57.0,205.0,0.9975,3.17,0.41,9.6,3
807,white,6.2,0.29,0.26,13.1,0.046,55.0,204.0,0.99745,3.16,0.41,9.6,2
808,white,6.0,0.39,0.17,12.0,0.046,65.0,246.0,0.9976,3.15,0.38,9.0,2
809,white,6.2,0.3,0.26,13.4,0.046,57.0,206.0,0.99775,3.17,0.43,9.5,2
810,white,6.0,0.28,0.49,6.8,0.048,61.0,222.0,0.9953,3.19,0.47,9.3,3
811,white,6.0,0.41,0.05,1.5,0.063,17.0,120.0,0.9932,3.21,0.56,9.2,2
813,white,6.5,0.26,0.32,16.5,0.045,44.0,166.0,1.0,3.38,0.46,9.5,2
814,white,7.9,0.35,0.24,15.6,0.07200000000000001,44.0,229.0,0.99785,3.03,0.59,10.5,2
815,white,6.2,0.3,0.17,2.8,0.04,24.0,125.0,0.9939,3.01,0.46,9.0,3
816,white,8.4,0.18,0.42,5.1,0.036000000000000004,7.0,77.0,0.9939,3.16,0.52,11.7,3
817,white,6.6,0.56,0.22,8.9,0.034,27.0,133.0,0.99675,3.2,0.51,9.1,3
818,white,6.2,0.3,0.17,2.8,0.04,24.0,125.0,0.9939,3.01,0.46,9.0,3
819,white,6.6,0.56,0.22,8.9,0.034,27.0,133.0,0.99675,3.2,0.51,9.1,3
820,white,6.6,0.36,0.29,1.6,0.021,24.0,85.0,0.98965,3.41,0.61,12.4,0
821,white,7.3,0.655,0.2,10.2,0.071,28.0,212.0,0.9971,2.96,0.58,9.2,2
822,white,6.8,0.18,0.21,5.4,0.053,34.0,104.0,0.99445,3.3,0.43,9.4,3
823,white,6.7,0.19,0.23,6.2,0.047,36.0,117.0,0.9945,3.34,0.43,9.6,2
824,white,8.4,0.18,0.42,5.1,0.036000000000000004,7.0,77.0,0.9939,3.16,0.52,11.7,3
825,white,7.0,0.21,0.37,7.2,0.042,36.0,167.0,0.9958,3.26,0.56,9.8,2
826,white,6.8,0.25,0.38,8.1,0.046,24.0,155.0,0.9956,3.33,0.59,10.2,2
827,white,7.4,0.24,0.36,2.0,0.031,27.0,139.0,0.99055,3.28,0.48,12.5,0
828,white,7.1,0.16,0.36,10.7,0.044000000000000004,20.0,90.0,0.9959,3.16,0.44,10.9,1
829,white,7.1,0.16,0.36,1.2,0.043,21.0,90.0,0.9925,3.16,0.42,11.0,1
830,white,7.3,0.205,0.31,1.7,0.06,34.0,110.0,0.9963,3.72,0.69,10.5,2
831,white,7.4,0.17,0.4,5.5,0.037000000000000005,34.0,161.0,0.9935,3.05,0.62,11.5,4
832,white,7.3,0.3,0.34,2.7,0.044000000000000004,34.0,108.0,0.99105,3.36,0.53,12.8,0
833,white,6.9,0.25,0.34,1.3,0.035,27.0,82.0,0.99045,3.18,0.44,12.2,2
834,white,7.3,0.205,0.31,1.7,0.06,34.0,110.0,0.9963,3.72,0.69,10.5,2
835,white,7.5,0.42,0.34,4.3,0.04,34.0,108.0,0.99155,3.14,0.45,12.8,0
836,white,7.3,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,3.25,0.4,11.9,0
837,white,7.3,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,3.25,0.4,11.9,0
838,white,7.3,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,3.25,0.4,11.9,0
839,white,7.5,0.34,0.35,6.0,0.034,12.0,126.0,0.9924,3.16,0.39,12.0,1
840,white,7.6,0.33,0.35,6.3,0.036000000000000004,12.0,126.0,0.9924,3.16,0.39,12.0,1
841,white,8.7,0.23,0.32,13.4,0.044000000000000004,35.0,169.0,0.99975,3.12,0.47,8.8,1
842,white,8.7,0.23,0.32,13.4,0.044000000000000004,35.0,169.0,0.99975,3.12,0.47,8.8,1
843,white,6.9,0.19,0.35,1.7,0.036000000000000004,33.0,101.0,0.99315,3.21,0.54,10.8,1
844,white,7.3,0.21,0.29,1.6,0.034,29.0,118.0,0.9917,3.3,0.5,11.0,0
845,white,7.3,0.21,0.29,1.6,0.034,29.0,118.0,0.9917,3.3,0.5,11.0,0
846,white,6.6,0.22,0.37,15.4,0.035,62.0,153.0,0.99845,3.02,0.4,9.3,3
847,white,9.2,0.34,0.27,1.2,0.026000000000000002,17.0,73.0,0.9921,3.08,0.39,10.8,3
848,white,8.7,0.23,0.32,13.4,0.044000000000000004,35.0,169.0,0.99975,3.12,0.47,8.8,1
849,white,6.0,0.2,0.24,1.8,0.03,30.0,105.0,0.9909,3.31,0.47,11.5,2
850,white,6.9,0.19,0.35,1.7,0.036000000000000004,33.0,101.0,0.99315,3.21,0.54,10.8,1
851,white,8.2,0.38,0.49,13.6,0.042,58.0,166.0,0.99855,3.1,0.54,9.4,3
852,white,6.9,0.18,0.36,1.3,0.036000000000000004,40.0,117.0,0.9934,3.27,0.95,9.5,1
853,white,7.7,0.34,0.58,11.1,0.039,41.0,151.0,0.9978,3.06,0.49,8.6,3
854,white,6.9,0.18,0.36,1.3,0.036000000000000004,40.0,117.0,0.9934,3.27,0.95,9.5,1
855,white,7.4,0.2,0.35,2.1,0.038,30.0,116.0,0.9949,3.49,0.77,10.3,1
856,white,8.2,0.38,0.49,13.6,0.042,58.0,166.0,0.99855,3.1,0.54,9.4,3
857,white,8.2,0.4,0.48,13.7,0.042,59.0,169.0,0.9986,3.1,0.52,9.4,3
858,white,6.7,0.22,0.39,10.2,0.038,60.0,149.0,0.99725,3.17,0.54,10.0,1
859,white,6.6,0.3,0.3,4.8,0.17,60.0,166.0,0.9946,3.18,0.47,9.4,3
860,white,8.1,0.27,0.35,1.7,0.03,38.0,103.0,0.99255,3.22,0.63,10.4,0
861,white,7.3,0.25,0.42,14.2,0.040999999999999995,57.0,182.0,0.9996,3.29,0.75,9.1,1
862,white,4.8,0.34,0.0,6.5,0.027999999999999997,33.0,163.0,0.9939,3.36,0.61,9.9,2
863,white,6.2,0.28,0.33,1.7,0.028999999999999998,24.0,111.0,0.99,3.24,0.5,12.1,2
864,white,4.8,0.33,0.0,6.5,0.027999999999999997,34.0,163.0,0.9937,3.35,0.61,9.9,3
865,white,6.1,0.27,0.33,2.2,0.021,26.0,117.0,0.9886,3.12,0.3,12.5,2
866,white,6.9,0.18,0.36,1.3,0.036000000000000004,40.0,117.0,0.9934,3.27,0.95,9.5,1
867,white,7.8,0.18,0.46,12.6,0.042,41.0,143.0,1.0,3.24,0.76,8.5,0
868,white,7.3,0.28,0.42,14.4,0.04,49.0,173.0,0.9994,3.28,0.82,9.0,1
869,white,7.3,0.24,0.29,1.2,0.037000000000000005,37.0,97.0,0.9926,3.19,0.7,10.1,2
870,white,6.0,0.45,0.65,9.7,0.08,11.0,159.0,0.9956,3.04,0.48,9.4,3
871,white,7.7,0.34,0.58,11.1,0.039,41.0,151.0,0.9978,3.06,0.49,8.6,3
872,white,6.3,0.26,0.21,4.0,0.03,24.0,125.0,0.9915,3.06,0.34,10.7,2
873,white,10.3,0.17,0.47,1.4,0.037000000000000005,5.0,33.0,0.9939,2.89,0.28,9.6,4
874,white,7.7,0.15,0.29,1.3,0.028999999999999998,10.0,64.0,0.9932,3.35,0.39,10.1,3
875,white,7.1,0.21,0.32,2.2,0.037000000000000005,28.0,141.0,0.993,3.2,0.57,10.0,1
876,white,6.9,0.36,0.34,4.2,0.018000000000000002,57.0,119.0,0.9898,3.28,0.36,12.7,0
877,white,6.0,0.28,0.34,1.6,0.11900000000000001,33.0,104.0,0.9921,3.19,0.38,10.2,2
878,white,6.2,0.16,0.54,1.4,0.126,37.0,110.0,0.9932,3.23,0.37,8.9,2
879,white,6.9,0.12,0.36,2.2,0.037000000000000005,18.0,111.0,0.9919,3.41,0.82,11.9,0
880,white,7.1,0.21,0.32,2.2,0.037000000000000005,28.0,141.0,0.993,3.2,0.57,10.0,1
881,white,8.8,0.36,0.44,1.9,0.04,9.0,121.0,0.9953,3.19,0.48,9.9,2
882,white,7.4,0.26,0.43,6.0,0.022000000000000002,22.0,125.0,0.9928,3.13,0.55,11.5,2
883,white,7.4,0.26,0.43,6.0,0.022000000000000002,22.0,125.0,0.9928,3.13,0.55,11.5,2
884,white,6.8,0.23,0.29,12.2,0.035,38.0,236.0,0.9976,3.35,0.52,9.8,2
885,white,6.1,0.34,0.27,2.6,0.024,20.0,105.0,0.9906,3.4,0.67,12.2,1
886,white,7.3,0.26,0.31,1.6,0.04,39.0,173.0,0.9918,3.19,0.51,11.4,2
887,white,6.5,0.3,0.32,2.0,0.044000000000000004,34.0,90.0,0.99185,3.37,0.68,11.0,1
888,white,7.3,0.26,0.31,1.6,0.04,39.0,173.0,0.9918,3.19,0.51,11.4,2
889,white,6.5,0.3,0.32,2.0,0.044000000000000004,34.0,90.0,0.99185,3.37,0.68,11.0,1
890,white,5.0,0.31,0.0,6.4,0.046,43.0,166.0,0.9940000000000001,3.3,0.63,9.9,2
891,white,5.8,0.26,0.18,1.2,0.031,40.0,114.0,0.9908,3.42,0.4,11.0,1
892,white,5.9,0.26,0.3,1.0,0.036000000000000004,38.0,114.0,0.9928,3.58,0.48,9.4,3
893,white,7.0,0.31,0.29,1.4,0.037000000000000005,33.0,128.0,0.9896,3.12,0.36,12.2,1
894,white,5.8,0.26,0.18,1.2,0.031,40.0,114.0,0.9908,3.42,0.4,11.0,1
895,white,5.6,0.19,0.39,1.1,0.043,17.0,67.0,0.9918,3.23,0.53,10.3,2
896,white,6.8,0.18,0.28,8.7,0.047,52.0,242.0,0.9952,3.22,0.53,10.5,2
897,white,7.0,0.29,0.26,1.6,0.044000000000000004,12.0,87.0,0.9923,3.08,0.46,10.5,2
898,white,6.6,0.26,0.29,1.4,0.039,13.0,67.0,0.9915,3.05,0.49,10.9,2
899,white,6.8,0.18,0.28,8.5,0.047,52.0,242.0,0.9952,3.22,0.53,10.5,2
900,white,6.6,0.2,0.38,7.9,0.052000000000000005,30.0,145.0,0.9947,3.32,0.56,11.0,1
901,white,8.0,0.29,0.29,13.2,0.046,26.0,113.0,0.9983,3.25,0.37,9.7,2
902,white,6.1,0.28,0.35,12.8,0.048,63.0,229.0,0.9975,3.08,0.4,8.9,3
903,white,5.9,0.31,0.3,7.7,0.047,60.0,206.0,0.995,3.2,0.39,9.6,2
904,white,6.9,0.21,0.28,2.4,0.055999999999999994,49.0,159.0,0.9944,3.02,0.47,8.8,0
905,white,8.4,0.19,0.42,1.6,0.047,9.0,101.0,0.9940000000000001,3.06,0.65,11.1,4
906,white,8.3,0.27,0.45,1.3,0.048,8.0,72.0,0.9944,3.08,0.61,10.3,4
907,white,7.1,0.25,0.39,2.1,0.036000000000000004,30.0,124.0,0.9908,3.28,0.43,12.2,0
908,white,8.0,0.23,0.37,9.6,0.054000000000000006,23.0,159.0,0.99795,3.32,0.47,9.8,4
910,white,6.3,0.33,0.2,5.8,0.04,24.0,144.0,0.99425,3.15,0.63,9.9,3
911,white,6.2,0.33,0.19,5.6,0.042,22.0,143.0,0.99425,3.15,0.63,9.9,3
912,white,6.3,0.34,0.19,5.8,0.040999999999999995,22.0,145.0,0.9943,3.15,0.63,9.9,3
913,white,5.8,0.29,0.05,0.8,0.038,11.0,30.0,0.9924,3.36,0.35,9.2,3
914,white,8.0,0.32,0.26,1.2,0.05,11.5,88.0,0.9946,3.24,0.37,9.5,4
915,white,5.6,0.29,0.05,0.8,0.038,11.0,30.0,0.9924,3.36,0.35,9.2,3
916,white,7.4,0.13,0.39,4.7,0.042,36.0,137.0,0.995,3.36,0.56,10.3,1
917,white,7.7,0.3,0.32,1.6,0.037000000000000005,23.0,124.0,0.9919,2.93,0.33,11.0,2
918,white,7.0,0.24,0.34,1.4,0.031,27.0,107.0,0.99,3.06,0.39,11.9,2
919,white,8.6,0.18,0.4,1.1,0.04,20.0,107.0,0.9923,2.94,0.32,10.2,1
920,white,7.0,0.11,0.32,4.6,0.057,59.0,144.0,0.9956,3.55,0.44,9.4,1
921,white,7.7,0.32,0.62,10.6,0.036000000000000004,56.0,153.0,0.9978,3.13,0.44,8.9,2
922,white,7.7,0.32,0.62,10.6,0.036000000000000004,56.0,153.0,0.9978,3.13,0.44,8.9,2
923,white,6.5,0.26,0.27,12.9,0.044000000000000004,69.0,215.0,0.9967,3.17,0.43,10.0,2
924,white,7.9,0.28,0.41,2.0,0.044000000000000004,50.0,152.0,0.9934,3.45,0.49,10.7,0
925,white,6.3,0.27,0.23,2.9,0.047,13.0,100.0,0.9936,3.28,0.43,9.8,3
926,white,5.4,0.595,0.1,2.8,0.042,26.0,80.0,0.9932,3.36,0.38,9.3,3
927,white,6.7,0.25,0.33,2.9,0.057,52.0,173.0,0.9934,3.02,0.48,9.5,1
928,white,6.5,0.25,0.35,12.0,0.055,47.0,179.0,0.998,3.58,0.47,10.0,3
929,white,6.1,0.36,0.58,15.0,0.044000000000000004,42.0,115.0,0.9978,3.15,0.51,9.0,3
930,white,7.7,0.17,0.52,5.9,0.017,21.0,84.0,0.9929,3.14,0.4,11.9,1
931,white,6.4,0.26,0.43,12.6,0.033,64.0,230.0,0.9974,3.08,0.38,8.9,3
932,white,6.5,0.26,0.28,12.5,0.046,80.0,225.0,0.99685,3.18,0.41,10.0,2
933,white,5.9,0.29,0.33,7.4,0.037000000000000005,58.0,205.0,0.99495,3.26,0.41,9.6,3
934,white,6.2,0.28,0.43,13.0,0.039,64.0,233.0,0.99745,3.08,0.38,8.9,3
935,white,6.1,0.27,0.44,6.7,0.040999999999999995,61.0,230.0,0.99505,3.12,0.4,8.9,3
936,white,6.4,0.43,0.32,1.4,0.048,10.0,67.0,0.992,3.08,0.41,11.4,3
937,white,6.1,0.36,0.58,15.0,0.044000000000000004,42.0,115.0,0.9978,3.15,0.51,9.0,3
938,white,6.2,0.35,0.29,7.3,0.044000000000000004,56.0,244.0,0.9956,3.36,0.55,10.0,2
939,white,7.7,0.24,0.29,15.3,0.044000000000000004,39.0,194.0,0.9982,3.06,0.47,9.6,1
940,white,6.2,0.34,0.28,7.5,0.034,40.0,197.0,0.99485,3.14,0.6,9.7,3
941,white,6.3,0.27,0.46,11.75,0.037000000000000005,61.0,212.0,0.9971,3.25,0.53,9.5,2
942,white,5.4,0.415,0.19,1.6,0.039,27.0,88.0,0.99265,3.54,0.41,10.0,1
943,white,6.9,0.48,0.36,3.5,0.03,31.0,135.0,0.9904,3.14,0.38,12.2,1
944,white,6.5,0.18,0.33,8.0,0.051,16.0,131.0,0.9965,3.28,0.44,8.7,1
945,white,6.7,0.15,0.29,5.0,0.057999999999999996,28.0,105.0,0.9946,3.52,0.44,10.2,1
946,white,8.2,0.345,1.0,18.2,0.047,55.0,205.0,0.99965,2.96,0.43,9.6,3
947,white,8.5,0.16,0.35,1.6,0.039,24.0,147.0,0.9935,2.96,0.36,10.0,3
948,white,6.8,0.705,0.25,3.2,0.048,10.0,57.0,0.996,3.36,0.52,9.5,4
949,white,7.3,0.25,0.39,6.4,0.034,8.0,84.0,0.9942,3.18,0.46,11.5,3
950,white,7.6,0.345,0.26,1.9,0.043,15.0,134.0,0.9936,3.08,0.38,9.5,3
951,white,7.6,0.22,0.34,9.7,0.035,26.0,143.0,0.9965,3.08,0.49,9.8,2
952,white,6.5,0.17,0.33,1.4,0.027999999999999997,14.0,99.0,0.9928,3.23,0.55,10.1,2
953,white,8.2,0.23,0.37,1.3,0.042,39.0,117.0,0.9928,2.99,0.36,10.0,3
954,white,7.6,0.22,0.34,9.7,0.035,26.0,143.0,0.9965,3.08,0.49,9.8,2
955,white,7.6,0.345,0.26,1.9,0.043,15.0,134.0,0.9936,3.08,0.38,9.5,3
956,white,7.5,0.32,0.26,1.8,0.042,13.0,133.0,0.9938,3.07,0.38,9.5,3
957,white,6.6,0.23,0.32,0.9,0.040999999999999995,25.0,79.0,0.9926,3.39,0.54,10.2,1
958,white,6.6,0.2,0.32,1.1,0.039,25.0,78.0,0.9926,3.39,0.54,10.2,1
959,white,7.3,0.24,0.34,15.4,0.05,38.0,174.0,0.9983,3.03,0.42,9.0,2
960,white,7.3,0.24,0.34,15.4,0.05,38.0,174.0,0.9983,3.03,0.42,9.0,2
961,white,8.0,0.42,0.36,5.0,0.037000000000000005,34.0,101.0,0.992,3.13,0.57,12.3,1
962,white,7.3,0.24,0.34,15.4,0.05,38.0,174.0,0.9983,3.03,0.42,9.0,2
963,white,6.1,0.19,0.25,4.0,0.023,23.0,112.0,0.9923,3.37,0.51,11.6,2
964,white,5.9,0.26,0.21,12.5,0.034,36.0,152.0,0.9972,3.28,0.43,9.5,2
965,white,8.3,0.23,0.43,3.2,0.035,14.0,101.0,0.9928,3.15,0.36,11.5,3
966,white,6.5,0.34,0.28,1.8,0.040999999999999995,43.0,188.0,0.9928,3.13,0.37,9.6,2
967,white,6.8,0.22,0.35,17.5,0.039,38.0,153.0,0.9994,3.24,0.42,9.0,2
968,white,6.5,0.08,0.33,1.9,0.027999999999999997,23.0,93.0,0.991,3.34,0.7,12.0,1
969,white,5.5,0.42,0.09,1.6,0.019,18.0,68.0,0.9906,3.33,0.51,11.4,1
970,white,5.1,0.42,0.01,1.5,0.017,25.0,102.0,0.9894,3.38,0.36,12.3,1
971,white,6.0,0.27,0.19,1.7,0.02,24.0,110.0,0.9898,3.32,0.47,12.6,1
973,white,6.5,0.08,0.33,1.9,0.027999999999999997,23.0,93.0,0.991,3.34,0.7,12.0,1
974,white,7.1,0.13,0.38,1.8,0.046,14.0,114.0,0.9925,3.32,0.9,11.7,2
975,white,7.6,0.3,0.25,4.3,0.054000000000000006,22.0,111.0,0.9956,3.12,0.49,9.2,3
976,white,6.6,0.13,0.3,4.9,0.057999999999999996,47.0,131.0,0.9946,3.51,0.45,10.3,2
977,white,6.5,0.14,0.33,7.6,0.05,53.0,189.0,0.9966,3.25,0.49,8.6,3
978,white,7.7,0.28,0.33,6.7,0.037000000000000005,32.0,155.0,0.9951,3.39,0.62,10.7,1
979,white,6.0,0.2,0.71,1.6,0.15,10.0,54.0,0.9927,3.12,0.47,9.8,3
980,white,6.0,0.19,0.71,1.5,0.152,9.0,55.0,0.9927,3.12,0.46,9.8,2
